holders_ratio_category,grant_id,title,holders_ratio,contributor_count_in_round,amount_received_in_round,amount_per_contributor,amount_per_contribution,stamps_per_amount,contribution_count,tx_count_in_round,stamps_per_tx,stamp_holders_tx,valid_stamps_count
normal,7207,Cashmere Labs,0.5046728971962616,749,1634.0261,2.9087438721136767,1.7201920168067228,2.121141149458996,952,749,4.627503337783712,378.0,3466.0
normal,7641,Bu Zhi DAO - Taiwan Web3 Education,0.4098360655737705,122,596.3159,5.521443518518519,4.84809674796748,0.7881728459697284,123,122,3.852459016393442,50.0,470.0
normal,1595,Bloom Network,0.6169491525423729,295,1354.5958,40.15192256790124,29.903509819786688,1.3664592788490857,2719,295,6.274576271186441,182.0,1851.0
normal,4739,Ecne,0.4130434782608695,46,98.7496,37.80545761589404,29.57836321243523,1.9848181663520663,193,46,4.260869565217392,19.0,196.0
normal,1805,Pepemon: Degen Battleground,0.5748299319727891,294,726.0108,3.826535376794258,3.1073177027683343,2.19418223530559,4118,294,5.418367346938775,169.0,1593.0
normal,7036,Neutral Protocol - On-chain carbon derivatives,0.5,42,615.1339,13.087955319148938,12.815289583333334,0.3527687223871095,48,42,5.166666666666667,21.0,217.0
normal,816,Grassroots Economics CIC Support - Kenya & Beyond,0.5384615384615384,13,232.1764,12.530625130434782,10.374527645788335,0.3230302476909797,1389,13,5.769230769230769,7.0,75.0
normal,6342,HyperXP,0.4615384615384615,52,307.9204,7.692387786259542,6.144529268292683,0.8671072134226898,164,52,5.134615384615385,24.0,267.0
high,6816,Troop Finance - Invest Better Together,0.7358024691358025,405,685.9313,1.72732825,1.6529456937799043,3.635932636402509,418,405,6.158024691358024,298.0,2494.0
high,6162,Conquest.eth a permission-less and persistent game of diplomacy,0.7368421052631579,19,396.8112,14.552005128205128,12.89836818181818,0.3906139746055555,44,19,8.157894736842104,14.0,155.0
high,7571,Recap of the Previous Day on StarkNet,0.7368421052631579,38,50.8558,1.4126611111111111,1.303994871794872,4.011341872510116,39,38,5.368421052631579,28.0,204.0
high,7268,inTheory Research Markets by Impact Finance,0.7375,80,1642.1224,16.258637623762375,8.734693617021277,0.2551575936117795,188,80,5.2375,59.0,419.0
high,7563,AbjaDAO | Translating Blockchain to Arabic,0.7391304347826086,23,77.9155,3.895775,3.3876304347826083,1.91232809903036,23,23,6.478260869565218,17.0,149.0
high,4083,Longevity Prize,0.7413793103448276,58,133.6102,30.33964322636852,23.711884123921923,3.2332860814518654,8812,58,7.448275862068965,43.0,432.0
high,7372,ENS University,0.7419354838709677,31,334.1661,11.93450357142857,10.779551612903225,0.7960113249069849,31,31,8.580645161290322,23.0,266.0
high,7401,FNS - Filecoin Name Service,0.7448979591836735,98,740.2581,9.138988888888887,7.329288118811881,0.9604758124227212,101,98,7.255102040816326,73.0,711.0
high,7918,Forta Patterns - Sybil detection,0.7461538461538462,260,308.2263,1.289649790794979,1.1587454887218045,6.135102682671791,266,260,7.273076923076923,194.0,1891.0
high,7344,L3GENDARY DAO,0.75,20,211.0311,10.551555,10.551555,0.8766480390804957,20,20,9.25,15.0,185.0
high,4201,Spect Network,0.75,80,109.0146,3.066443587962963,2.498969307677797,5.494676859796761,5301,80,7.4875,60.0,599.0
high,7588,Open Source Attention,0.75,32,487.7099,16.256996666666666,14.77908787878788,0.487995015069409,33,32,7.4375,24.0,238.0
high,7534,Rektify AI | Champions of Web3 Security,0.75,16,72.758,4.850533333333333,4.547375,1.498117045548256,16,16,6.8125,12.0,109.0
high,7095,Zero-Knowledge University - an Online Course and Informal Study Group.,0.75,20,93.7096,4.791705,4.356095454545454,1.1631679144932856,22,20,5.45,15.0,109.0
high,2754,MintBot | Polygon NFT Minter + ENS SubDomains (no gas),0.75,56,96.4205,8.794543899613899,6.755002580071174,4.542602454872148,3372,56,7.821428571428571,42.0,438.0
high,7833,50mm Collective,0.75,64,376.6569,5.9786809523809525,5.621744776119403,1.165516946589854,67,64,6.859375,48.0,439.0
high,7433,Hazel - Gamifying Carbon Removal For Consumers Using Web3 Technology,0.75,20,127.7734,6.724915789473684,6.388669999999999,0.9235099011218296,20,20,5.9,15.0,118.0
high,7336,Decentralized student team for iGEM competition,0.7543859649122807,57,681.2754,13.10145,11.746127586206896,0.6252977870623246,58,57,7.473684210526316,43.0,426.0
high,391,BoxSwap - ,0.7555555555555555,45,56.9183,2.099410909090909,2.0257473684210527,3.197565633548437,57,45,4.044444444444444,34.0,182.0
high,6739,SafeZen- the future of insurance,0.76,25,47.4843,1.9785125,1.899372,4.106620504040283,25,25,7.8,19.0,195.0
high,7443,"I Am The Master of My Own Domain & I Carry My Magic With Me - Self-Sovereignty, Self-Determination, & Self-Efficacy to Overcome Domestic Violence",0.7611940298507462,67,1093.081,12.801395348837213,5.983260869565218,0.3732568766633031,184,67,6.08955223880597,51.0,408.0
high,7544,WeSeed,0.7647058823529411,34,348.6713,10.895978125,9.685313888888889,0.725611772463062,36,34,7.4411764705882355,26.0,253.0
high,285,Universal Basic Income — UBI,0.7653061224489796,98,213.6746,7.929800314748201,5.703711481241914,2.971808535034113,3092,98,6.479591836734694,75.0,635.0
high,7266,Contracts bots gang,0.7681159420289855,276,275.3063,0.946069759450172,0.923846644295302,6.160411149327131,298,276,6.144927536231884,212.0,1696.0
high,7073,Good Science Project,0.7692307692307693,13,52.7021,4.131,3.835928571428572,2.5805423313302507,14,13,10.461538461538462,10.0,136.0
high,7669,FAVELAVERSO - Social Inclusion through the Web 3,0.7741935483870968,31,68.4828,2.445814285714285,2.209122580645161,3.738164911481423,31,31,8.258064516129032,24.0,256.0
high,4573,datalatte - Milk Your Data,0.7857142857142857,14,115.47,2.9230414580265096,2.372678003586372,0.5975578072226553,1673,14,4.928571428571429,11.0,69.0
high,6783,Simple.eth - Decentralized .Eth Websites for the first million users and beyond,0.7857142857142857,14,95.7658,6.840414285714286,6.840414285714286,1.52455260646285,14,14,10.428571428571429,11.0,146.0
high,7723,We Make Impact - Exponentially Reversing Climate Change,0.7878787878787878,33,88.6147,2.769209375,2.606314705882353,1.7717150766182137,34,33,4.757575757575758,26.0,157.0
high,7672,Forta Agent: Contract impersonations Detector,0.7933884297520661,242,234.1474,0.9756141666666668,0.9479651821862348,6.3250755720541845,247,242,6.119834710743802,192.0,1481.0
high,7812,Tech By Choice: Paid Open Source Initiative,0.8,80,682.4053,9.611342253521126,8.322015853658536,0.8836390924865325,82,80,7.5375,64.0,603.0
high,7418,【W3.work Metaverse】Connect & Collab in Web3,0.8034934497816594,229,1195.6371,4.840636032388663,3.435738793103448,1.0546678419396656,348,229,5.506550218340611,184.0,1261.0
high,5988,ARTXV,0.8064516129032258,31,104.6259,5.699578431372549,4.926754237288136,2.3799078430866545,59,31,8.03225806451613,25.0,249.0
high,7623,REGEN LEAGUE: Protecting the Amazon Rainforest,0.8095238095238095,21,82.6359,3.935042857142857,3.935042857142857,2.0814198187470576,21,21,8.19047619047619,17.0,172.0
high,6716,KeyChain - SoulBound Web3 Social Platfform,0.8125,16,74.5173,5.075916949152543,4.6793609375,1.771400735131305,64,16,8.25,13.0,132.0
high,7303,Greatness: A Loot Podcast Series,0.8142076502732241,183,515.1786,2.815183606557377,2.784749189189189,1.919722597173097,185,183,5.404371584699454,149.0,989.0
high,6388,Community Management,0.8148148148148148,162,425.5557,4.73599806763285,4.376569642857143,1.9809392753992008,224,162,5.203703703703703,132.0,843.0
high,2966,"Blockhead: portfolio tracker, tx visualizer and data explorer for crypto/DeFi/NFTs/web3",0.8181818181818182,11,50.1312,6.0133521666666665,4.402698352654057,2.094504021447721,6556,11,9.545454545454543,9.0,105.0
high,7748,DAO Governance Education Sessions,0.8181818181818182,11,174.5476,15.867963636363635,14.545633333333331,0.5213477584338027,12,11,8.272727272727273,9.0,91.0
high,2137,ETH gas price telegram bot,0.8260869565217391,23,176.2314,12.286263934426229,11.021501470588234,0.4369255422132491,68,23,3.347826086956522,19.0,77.0
high,5090,Urbanika and the SolarPunk Awakening,0.8383838383838383,99,636.3409,5.326740205562273,4.434035379969804,1.2179006567077488,1987,99,7.828282828282828,83.0,775.0
high,6713,"Incrypted - Media Network about crypto, based in Ukraine",0.8611111111111112,216,340.0471,30.65165572519084,27.352635558583103,4.375864402313679,734,216,6.888888888888889,186.0,1488.0
high,4143,wslyvh - useWeb3 | ETHGas | Tokenlog & more..,0.8666666666666667,15,72.3721,9.567180833333332,7.553037499999999,1.9758995524518423,152,15,9.533333333333331,13.0,143.0
high,2673,Mafia creativa din Romania,0.9090909090909092,11,79.055,5.3419384615384615,4.340325,1.4926317120991712,48,11,10.727272727272728,10.0,118.0
high,7269,CyberBox ReFi NFT Marketplace,0.9111111111111112,180,402.589,2.191086559139785,2.156307407407408,1.7660691176361003,189,180,3.95,164.0,711.0
high,7227,build pr3tti; Onboard Women to Web3,0.9166666666666666,12,50.9747,3.921130769230769,3.921130769230769,2.5699023240941097,13,12,10.916666666666666,11.0,131.0
high,7658,Forta Agent: Money Laundering Detector for Umbra Protocol.,0.9187817258883249,197,66.3456,0.3300776119402985,0.3284435643564357,21.77989195967781,202,197,7.33502538071066,181.0,1445.0
high,7692,Malicious Contract Detector,0.921875,192,111.1234,0.5698635897435897,0.5612292929292929,12.751589674182036,198,192,7.380208333333333,177.0,1417.0
high,6206,MuseX Protocol,0.9375,48,80.7302,3.92038380952381,2.286890555555556,6.168695234249389,180,48,10.375,45.0,498.0
high,7341,Wiscle DEI-First Collaboration Network,1.0,11,70.0603,6.369118181818181,6.369118181818181,1.4416152942536644,11,11,9.181818181818182,11.0,101.0
low,7394,GloriView is an NFT creation platform accessible to everyone.,0.0172413793103448,58,85.8636,1.70786301369863,1.5204146341463416,0.0232927573500295,82,58,0.0344827586206896,1.0,2.0
low,7345,BasicTier Platform,0.03003003003003,333,434.9233,1.556834219269103,1.3237488700564972,0.0528828876263929,354,333,0.069069069069069,10.0,23.0
low,7131,Surfnetwork,0.032258064516129,31,58.0414,1.9211566666666668,1.6705710144927537,0.0344581626218526,69,31,0.064516129032258,1.0,2.0
low,7222,Madaland,0.052219321148825,383,475.1987,1.3038703896103896,1.2303678921568626,0.2083339032703582,408,383,0.2584856396866841,20.0,99.0
low,7252,Societify is a guild management platform for sharing player accounts and assets across the Web3 gaming ecosystem.,0.0554913294797687,865,1134.1548,1.5090812807881773,1.3319282608695653,0.1296119365716214,920,865,0.1699421965317919,48.0,147.0
low,7502,Minidomn is a launchpad for Web3-native investing DAOs.,0.0632911392405063,237,321.308,1.551789344262295,1.3571204301075268,0.1991858279283429,279,237,0.270042194092827,15.0,64.0
low,7265,SimpUnion is a fixed rate lending platform with flexible terms on Ethereum.,0.0689655172413793,261,364.4576,1.546862886597938,1.402296261682243,0.1920662376089838,321,261,0.2681992337164751,18.0,70.0
low,6547,Cryptoant Program,0.0751445086705202,1038,1421.9556,1.9042270499528744,1.6306577078288942,0.2595017734730958,1239,1038,0.3554913294797688,78.0,369.0
low,7288,Leevtis is a platform that enables users to mint their Web3 achievements as Soulbound NFTs.,0.0781544256120527,1062,1329.5984,1.3349381526104418,1.0275103554868623,0.3091158954463242,1294,1062,0.3870056497175141,83.0,411.0
low,7451,CrypMetis DAPP,0.0826996197718631,1052,1395.6134,1.4721971631205677,1.3392245161290324,0.2077939349106278,1085,1052,0.2756653992395437,87.0,290.0
low,7256,"CrypColosseum is a platform where DAO members can submit, support or challenge proposals.",0.0839041095890411,1168,1529.9459,1.4776879734848485,1.311292857142857,0.2601399173657056,1190,1168,0.3407534246575342,98.0,398.0
low,7545,"SmoothDiscovery ,a  platform for discovering fair,transparent and decentralized token price.",0.0845188284518828,1195,1550.7151,1.4882102687140115,1.2955013366750208,0.2405341896780395,1197,1195,0.3121338912133891,101.0,373.0
low,6468,NBank Financial System,0.0849609375,1024,1400.6909,1.9907994258373207,1.6419774269928966,0.325553625000348,1267,1024,0.4453125,87.0,456.0
low,6487,Bitgiant,0.0878928987194412,1718,2343.0223,2.24311279014685,1.7440924861878455,0.240714738395789,2715,1718,0.3282887077997671,151.0,564.0
low,7385,FacHub Platform,0.0885496183206106,655,941.6621,1.6032871753246754,1.4417881751824817,0.2007089379513097,685,655,0.2885496183206107,58.0,189.0
low,6761,Truts - Discovery platform for web3 communities based on onchain and offchain analytics,0.0909090909090909,11,258.5832,25.85832,23.507563636363635,0.058008408898954,11,11,1.3636363636363635,1.0,15.0
low,6707,CryptoTribe,0.0949820788530465,1674,2307.5844,1.579614503816794,1.3950303370786516,0.2751795340616794,1780,1674,0.3793309438470729,159.0,635.0
low,6602,Harefund,0.1022938623682579,1613,2189.813,1.865065408805032,1.571290655105973,0.2790192587220917,2076,1613,0.3787972721636702,165.0,611.0
low,7439,BitRavener Cryptocurrency Reward Platform,0.1032967032967032,1365,1887.3642,1.57786786004882,1.3891114613180515,0.4620199959287137,1396,1365,0.6388278388278388,141.0,872.0
low,6313,Openkoo,0.1079199303742384,1149,1584.0711,1.8168540780141844,1.5316976083707026,0.556161904601378,1338,1149,0.7667536988685814,124.0,881.0
low,7408,"NFTrack is a marketplace where users can mint, trade and list NFTs with core features.",0.1105476673427992,986,1447.5748,1.628553501094092,1.469395755182626,0.3806366344592348,1013,986,0.5588235294117647,109.0,551.0
low,7547,Fluidspeed Programmable And Streaming Payments Tool,0.1221945137157107,401,541.6333,1.5431148148148146,1.347346517412935,0.1680103494375253,402,401,0.226932668329177,49.0,91.0
low,7314,Ultrapods is a toolkit for decentralized identity.,0.1302037201062887,1129,1457.0824,1.4169735599622286,1.2935991379310343,0.2964828893685079,1160,1129,0.3826395039858282,147.0,432.0
low,5699,Synpress - web3-enabled e2e testing tool,0.1333333333333333,15,284.9922,17.396952631578948,15.7401,0.0736862272020076,21,15,1.4,2.0,21.0
low,6542,Cryptobond Tool,0.1338090990187332,1121,1544.8863,2.206190909090909,1.845306006389776,0.2744538546299491,1565,1121,0.3782337198929527,150.0,424.0
low,7398,Commubase,0.1449144914491449,1111,1493.5952,1.4292084493964716,1.3490425065731813,0.4492515776697729,1141,1111,0.6039603960396039,161.0,671.0
low,5027,0 to Web3 - Instructor Led Coding Bootcamp Scholarships,0.15,20,338.0118,19.423811904761905,12.7468765625,0.1094636341098151,64,20,1.85,3.0,37.0
low,7196,Collateralizer,0.1538461538461538,1040,1336.5698,1.4350440537745606,1.2908721860465115,0.4803340611167482,1075,1040,0.6173076923076923,160.0,642.0
low,1577,EthCC by Ethereum France,0.1538461538461538,13,153.9766,22.28931802973977,17.204667288378765,0.2143182795307858,697,13,2.5384615384615383,2.0,33.0
low,6435,Hyperspot Finance,0.1635049683830171,1107,1514.1358,1.7442052631578948,1.526029759450172,0.837441397264367,1455,1107,1.1454381210478772,181.0,1268.0
low,7598,TEMPLE OF THE FOX,0.1666666666666666,12,112.2564,9.3547,9.3547,0.1870717393395833,12,12,1.75,2.0,21.0
low,7132,My Meta Farm,0.1666666666666666,12,44.2328,3.3346785714285714,3.1123666666666665,0.6104067569767232,15,12,2.25,2.0,27.0
low,6501,StarfishDAO Platform,0.1731266149870801,1161,1630.7843,1.769259044862518,1.5149417596034696,0.5488156833494165,1614,1161,0.7708871662360034,201.0,895.0
low,7354,Arronia,0.1758917589175891,813,1095.0534,1.4720863402061857,1.3470978773584903,0.5652692370983917,848,813,0.7613776137761378,143.0,619.0
low,7232,Orgassign,0.1795716639209225,607,790.7729,1.387728737541528,1.1094458167330676,0.5210092556282594,753,607,0.6787479406919276,109.0,412.0
low,6297,Seavoting  cross-chain voting system,0.1905187835420393,1118,1545.3532,1.7917763984674329,1.509534021949645,0.9687105834446132,1549,1118,1.3389982110912344,213.0,1497.0
low,7155,Openseed Platform,0.1918918918918919,1110,1484.3138,1.505928972868217,1.3432313742437338,0.4628401352867567,1157,1110,0.6189189189189189,213.0,687.0
low,7475,Committable: A Decentralized Open-Source Protocol For Web3,0.1981132075471698,106,178.3203,5.244714705882353,1.666544859813084,1.5365608963197124,107,106,2.5849056603773586,21.0,274.0
low,7272,dDAO Community - 探索去中心治理的小型社会学实验,0.2,115,164.3017,4.635602777777778,1.4142516949152542,1.5459365301758898,118,115,2.208695652173913,23.0,254.0
low,6237,"Non-Fungible Friend: Connect, build, and engage with your Web3 network",0.2,20,327.288,5.166057735849057,4.672373037542663,0.1527706484808486,293,20,2.5,4.0,50.0
low,6092,Genesis Scrolls Painted,0.2,15,44.2383,12.320664935064936,10.780581818181815,0.7233551018009281,88,15,2.1333333333333333,3.0,32.0
low,6391,Bitloan protocol,0.2014995313964386,1067,1497.5131,2.392567469879518,1.897722457337884,0.8734481187510147,2930,1067,1.225866916588566,215.0,1308.0
low,6309,Fair Auction,0.2069868995633187,1145,1588.3977,2.304479975947084,1.8585597478176528,0.7775130875598725,2062,1145,1.0786026200873362,237.0,1235.0
low,7267,join3 - Collaboration and Social,0.2142857142857142,126,208.6419,5.088826829268292,1.6428496062992126,1.5433141665216814,127,126,2.555555555555556,27.0,322.0
low,231,BUIDL Honduras,0.217391304347826,23,159.5388,7.964247356321839,6.175485918003565,0.3510117914889669,1683,23,2.4347826086956523,5.0,56.0
low,6596,Multisig Campaign Platform,0.221938775510204,1176,1748.7849,2.2426829754601227,1.816433913043478,1.1859663243890086,1610,1176,1.7636054421768708,261.0,2074.0
low,7713,Grappa,0.225,80,343.5193,8.808187179487179,4.29399125,0.4919665357958054,80,80,2.1125,18.0,169.0
low,6571,Phoenix Guild: Onboarding the next million female and non-binary #buildoors to web3,0.2307692307692307,13,300.249,17.92731176470588,16.93135,0.0566196723386256,18,13,1.3076923076923077,3.0,17.0
low,7346,Mest - Make your on-chain story,0.2347417840375587,213,450.9067,4.746386315789474,2.031111261261261,1.1000058326922175,222,213,2.328638497652582,50.0,496.0
low,3329,"PartyBoard - Meta-Social App, an immersive gamified social network with token economic system incentives",0.2410714285714285,112,131.0616,2.665222388059701,1.2315165517241378,2.35766998113864,145,112,2.758928571428572,27.0,309.0
