wallet,setSpaces,numVotes,numSpaces,numPOAPs,setPOAPs,setCollections,numCollections,numNFTs,countNFTs,numLens,numLensFollowers,numLensFollowing,hasProofOfHumanity
0xa12e3f357b5928caa496f1c54a0aadee2f0aec85,{'gitcoindao.eth'},1,1,0,,{'0x2aea4add166ebf38b63d09a75de1a7b94aa24163'},1,3,Counter({'0x2aea4add166ebf38b63d09a75de1a7b94aa24163': 3}),0,0,0,FALSE
0xa1bbd8d39ed536dea030a32f3f6c5916c845a800,"{'polycatfi.eth', 'sportx.eth', 'aave.eth', 'quickvote.eth', 'aavegotchi.eth', 'pooltogether.eth', 'thegotchifarmy.eth', 'gitcoindao.eth', 'adamant.eth', 'gotchidao.eth', 'qidao.eth', 'banklessvault.eth', 'gotchivault.eth'}",257,13,41,"{22272, 11142, 22278, 11145, 11146, 16394, 17419, 10509, 13070, 13327, 22794, 26893, 18707, 11165, 26016, 11048, 27438, 28601, 35903, 6978, 14787, 21314, 25029, 65219, 11593, 11594, 11595, 11596, 11597, 18889, 18640, 9177, 21982, 21857, 25061, 18281, 25836, 35831, 23288, 12409, 19963}","{'Yield Guild Badge (YGG BADGE)', 'ENS'}",2,4,"Counter({'ENS': 3, 'Yield Guild Badge (YGG BADGE)': 1})",1,173,211,FALSE
0xb3d1e41f84acd0e77f83473aa62fc8560c2a3c0c,"{'cultivatordao.eth', 'teapartylife.eth', 'synthereum.eth', 'london.pob.eth', 'arbitrum-odyssey.eth', 'vhigh.eth', 'revotu.eth', 'cow.eth', 'ricochet.eth', 'gnosis.eth', 'lyra.eth'}",35,11,10,"{10720, 13603, 43261, 12010, 20345, 59985, 49299, 56567, 13273, 18301}","{'ENS', 'Octagon (8GON)', 'Zorbs'}",3,4,"Counter({'ENS': 2, 'Zorbs': 1, 'Octagon (8GON)': 1})",1,127,111,FALSE
0xb62e762af637b49eb4870bce8fe21bfff189e495,"{'nfbeez.eth', 'gitcoindao.eth', 'dego', 'badgerdao.eth', 'octofi'}",15,5,16,"{35493, 31846, 31847, 31848, 31849, 23946, 25131, 36076, 47725, 48941, 51608, 41971, 12696, 41210, 51388, 41309}",{'0x09c51a44a77c949c7367e6e53cfb502236e75caf'},1,1,Counter({'0x09c51a44a77c949c7367e6e53cfb502236e75caf': 1}),1,17,24,FALSE
0xb7658aac84dbe5924badc9d780c36442dd46306e,{'snapshot.dcl.eth'},4,1,47,"{32384, 66056, 43530, 17419, 56717, 56724, 1304, 4381, 2338, 36386, 36388, 37798, 32812, 27438, 27439, 48434, 53426, 48436, 33591, 38327, 38333, 13384, 31560, 33611, 6347, 36430, 6350, 13392, 28536, 26966, 45150, 32095, 34400, 34402, 8558, 55663, 15217, 15218, 11891, 11892, 31091, 38646, 23287, 23288, 39410, 60662, 60660}","{'Pooly - Supporter (POOLY1)', 'Club Pooly (CLUBPOOLY)'}",2,2,"Counter({'Pooly - Supporter (POOLY1)': 1, 'Club Pooly (CLUBPOOLY)': 1})",1,5,4,FALSE
0xbc1ac3c2d1ffd9df2fba017225f4f6cb61bd005a,{'pupperdao.eth'},1,1,0,,{'ENS'},1,1,Counter({'ENS': 1}),0,0,0,FALSE
0xd26b76e50f6510cdd4bf45d59279705f36946d23,"{'dirtxyz.eth', 'cultivatordao.eth', 'shellprotocol.eth', 'klimadao.eth', 'pooltogether.eth', 'cow.eth', 'friendsofpooly.eth'}",43,7,67,"{45442, 73218, 34308, 25481, 48521, 39052, 61836, 61070, 21007, 55056, 47762, 49299, 28310, 46358, 28696, 27164, 66974, 64420, 33320, 43435, 39855, 58288, 65584, 18354, 43061, 33719, 37304, 44215, 36667, 34108, 35903, 65601, 19782, 32071, 46407, 45003, 27986, 49106, 56154, 26971, 30428, 26972, 47708, 56666, 57434, 47971, 24421, 52198, 51943, 26600, 41834, 70891, 35180, 41965, 36846, 36847, 38382, 41966, 40818, 30963, 52334, 40438, 29559, 18678, 33145, 54012, 45949}","{'RabbitHole Credentials: NFTs (RHC-NFT)', 'ENS', 'RabbitHole Credentials: DeFi (RHC-DEFI)', 'State of Mind (ZSD)', 'Pooly - Supporter (POOLY1)', 'Zorbs', 'Zerion', 'RabbitHole Credentials: DAOs (RHC-DAO)', 'Club Pooly (CLUBPOOLY)', 'Uniswap V3: Positions NFT (UNI-V3-POS)'}",10,12,"Counter({'Zorbs': 2, 'State of Mind (ZSD)': 2, 'Uniswap V3: Positions NFT (UNI-V3-POS)': 1, 'RabbitHole Credentials: NFTs (RHC-NFT)': 1, 'RabbitHole Credentials: DeFi (RHC-DEFI)': 1, 'RabbitHole Credentials: DAOs (RHC-DAO)': 1, 'Zerion': 1, 'Pooly - Supporter (POOLY1)': 1, 'Club Pooly (CLUBPOOLY)': 1, 'ENS': 1})",1,201,160,FALSE
0xd89654f93314cc4f09a0fb0367cb6b7a711998cd,"{'baovotes.eth', 'pancake', 'babykraken.eth', 's-finance', 'ens.eth', 'mstablegovernance.eth', 'julswap.eth', 'mantra-dao', 'dappradar.eth'}",9,9,12,"{8807, 66056, 842, 17419, 13326, 11954, 11892, 789, 822, 983, 1627, 1533}","{'ENS', 'POAP (The Proof of Attendance Protocol)'}",2,2,"Counter({'ENS': 1, 'POAP (The Proof of Attendance Protocol)': 1})",0,0,0,FALSE
0xf0230d66d017a5ce8c4b64195706f8628f198a60,"{'cultivatordao.eth', 'zksyncdao.eth'}",3,2,1,{52640},"{'ENS', 'Bit islands Genesis Passport NFT'}",2,2,"Counter({'ENS': 1, 'Bit islands Genesis Passport NFT': 1})",1,4,1,FALSE
0xfd6baccfc7d2bf155a4a58412d1317a2ecd6faf7,{'cultivatordao.eth'},1,1,2,"{54172, 56470}","{'0x3c9bfa7bf08d4752d2981e509d6389763ce29260', '0xc54567b294d7ec7807529fbaec71d326543453c5', '0xeec5e2fceda3edfb129a13bc2e1a54960ee0c661', '0x91a02727da07cabf02c8753ef7c31de8ff3cb597', '0x5bf5bcc5362f88721167c1068b58c60cad075aac', '0xa54d738b3407f8f2fcc4e1abcdba109250396caf', '0xe42cad6fc883877a76a26a16ed92444ab177e306', '0xa9bd1c7f894ce06c338d6aacec29ddba6104c2b0', '0x0453435725ccb8aaa1ab52474dcb12aef220679e'}",9,11,"Counter({'0xa54d738b3407f8f2fcc4e1abcdba109250396caf': 3, '0x91a02727da07cabf02c8753ef7c31de8ff3cb597': 1, '0x0453435725ccb8aaa1ab52474dcb12aef220679e': 1, '0xeec5e2fceda3edfb129a13bc2e1a54960ee0c661': 1, '0x3c9bfa7bf08d4752d2981e509d6389763ce29260': 1, '0xc54567b294d7ec7807529fbaec71d326543453c5': 1, '0x5bf5bcc5362f88721167c1068b58c60cad075aac': 1, '0xe42cad6fc883877a76a26a16ed92444ab177e306': 1, '0xa9bd1c7f894ce06c338d6aacec29ddba6104c2b0': 1})",1,7,12,FALSE
